customer_id,first_name,last_name,email,city,credit_score,created_at
CUSXAJI0Y6DPBHS,Kevin,Young,brauncameron@example.net,North Williamville,327,2025-04-17
CUSHXTHV3A3ZMF8,Jason,Clements,toddwilliam@example.net,Martinezside,644,2020-02-23
CUSDD4V30T9NT3W,Randy,Thompson,trevoranderson@example.org,Gallowayfurt,670,2025-06-22
CUSGCX1945NQ4FM,Laura,Phillips,valdezgeorge@example.com,Morrisview,573,2019-10-20
CUSVG0FN9XUY41I,Savannah,Swanson,smithluis@example.com,Lake Anna,332,2022-07-16
CUSOC6UZHR5XFF0,Ashley,Wang,reesekendra@example.com,Amybury,569,2025-07-22
CUSPVN9ER14FFYV,Morgan,Miller,narnold@example.org,New Javierbury,694,2023-04-13
CUSVQJT7YE511MK,David,Cabrera,heidi41@example.net,West Michelle,461,2024-02-02
CUSAZZ81SDW4SHN,Alicia,Rivera,debrawarren@example.com,West Laura,465,2025-01-18
CUS877VREN93IIU,Ashley,Hoffman,dstuart@example.org,South Jennifer,380,2019-12-17
CUS039TEX8FSV87,Joshua,Andrade,russellbanks@example.com,Davidstad,505,2022-06-30
CUSOYN6QICATVAZ,Sonia,Patel,ggutierrez@example.net,West Christopherfort,360,2021-07-26
CUSCBLSKRT05UIR,Vanessa,Gonzalez,mortonrichard@example.com,Markside,716,2021-02-18
CUSDXMO5BXXC02D,Maureen,Bruce,iowen@example.com,North Stacy,496,2021-02-18
CUSTFGQ5C34DXTA,Maria,Johnson,travisgonzalez@example.net,Melaniehaven,395,2021-08-26
CUSFRHOCN9J2QP8,Teresa,Craig,rayjonathan@example.org,Richardstad,798,2020-09-26
CUSGHC0CLBR7TCS,Douglas,Ferguson,lgonzalez@example.com,Richardberg,490,2019-10-08
CUSVYIE6IVWPVS7,Kirsten,Knight,stephen09@example.org,Lake Andreaburgh,509,2022-07-10
CUSIOYKL1CQ99CH,Kevin,Clark,nathanmeyer@example.net,Murraychester,571,2020-06-26
CUS755NF4ZW9XA3,Tracy,Marks,terrelledward@example.net,Juarezport,606,2020-02-29
CUS7EEDTJVZHWJR,Nancy,Hall,jacob17@example.com,Leslieville,352,2020-01-14
CUSW3BME9FPZUE8,Sarah,Armstrong,williamsbrent@example.com,North Georgefort,452,2025-02-12
CUSBNTPBN78BMYY,Michael,West,juliepowell@example.org,Pricehaven,662,2025-04-12
CUS5OWF75935A0L,Tyler,Cherry,charlesstephenson@example.net,Lake Allisonshire,721,2021-10-13
CUSJ2D54I3QK2IA,Brian,Ferrell,copelanderin@example.com,Frederickshire,497,2023-06-21
CUSL58KXO9T7E8G,Dawn,Wagner,stevenkeller@example.org,Vanessahaven,571,2019-06-06
CUSDP0LVSNUJZA7,Tyler,Martinez,hjones@example.org,Chadport,501,2023-01-31
CUSP87WXE6SYLZT,Robert,Nguyen,barretthailey@example.net,Lake Kathryn,496,2023-09-19
CUSXN0GUO4KH2VL,Patrick,Villanueva,sarahperez@example.com,Port Tammieshire,752,2023-12-17
CUSYS280XKXWD8I,Deborah,Cunningham,richardrodriguez@example.com,East Christopher,617,2021-07-09
CUS3FB9W1Q5UZNO,Brian,Zhang,randyolson@example.com,North Blaketown,451,2019-01-23
CUS6452H2ZQU7EE,Robert,Brown,wgoodman@example.org,Lake Victoria,775,2024-12-15
CUS9V86WZS3T60R,Kyle,Lewis,fritzsteven@example.org,Taylorborough,565,2021-10-09
CUS4J1RIPZIM6CF,Tracy,Leonard,stephaniescott@example.com,Lanefurt,692,2020-09-17
CUSZCOTOHP6VZ41,Kimberly,Brock,sandy88@example.net,Jesusview,689,2024-05-07
CUSAM148P0TVHHP,Kimberly,Hardy,stanleykevin@example.com,Whitestad,329,2023-05-12
CUSMYOFQEWAOUAX,Emily,Rodriguez,hmcguire@example.net,Port Mollyfort,438,2024-03-06
CUSGJLQM5K8P4Q0,Megan,Williams,barrybrewer@example.org,Thomasmouth,353,2022-12-04
CUSIC8BBI4WIRE8,Kelly,Robinson,christopher22@example.net,Bennettport,776,2021-11-15
CUS1GV0E38DALY8,Mark,Vega,franktina@example.net,Andreafurt,706,2021-03-23
CUSCYWD14VE92MP,Elizabeth,Valentine,rmooney@example.org,Port Joelfurt,679,2019-10-10
CUSSM43D8W3ZP08,Isaac,Hernandez,jay20@example.com,New Stevenstad,576,2025-11-27
CUS3TRP0J43D5IQ,Mike,Allen,gutierrezlaura@example.net,Palmerside,688,2022-10-09
CUSB4GH2M5ZJA8D,Dawn,Lang,riverakatherine@example.com,New Melissa,716,2024-06-24
CUSTIRZQAKOIXNT,Rebecca,Wilson,rhonda02@example.net,East Marilyn,652,2023-10-09
CUS9TMQLIZL08YG,David,Payne,stewartsharon@example.org,New Damon,795,2022-02-06
CUS09SKDGIGATJ9,Alex,Roth,rperez@example.com,Lake Laura,599,2020-06-01
CUSW1DAKRM8J5EC,James,Villarreal,camposjames@example.org,South Alyssachester,803,2019-10-31
CUSUYF38DIUOVW1,Crystal,Garcia,ramseycourtney@example.org,Downsbury,689,2024-01-20
CUS6KVPUC8D1WJC,Tyler,Richardson,vkelley@example.net,Bowenberg,545,2020-12-12
CUSTFOYQBKK4CIJ,Jill,Rodgers,ljordan@example.net,Christineside,502,2023-10-08
CUSEIFJFC2V37PQ,Raymond,Spears,vflores@example.net,North Hannah,611,2023-07-07
CUS7SRCBPLJD84U,Troy,Stafford,katrina74@example.org,South Barbara,321,2022-01-08
CUSU1GSPK9P38QO,Mark,Allen,browncaitlin@example.org,New Hayley,628,2020-03-04
CUS4LYK83TQLL8O,Emily,Gibson,wilsoncatherine@example.net,Tracyview,826,2019-01-05
CUSXTOGN1W1HT7P,Lori,Moses,jessebarr@example.org,Port Jessica,796,2020-05-12
CUSBW2ZLAOI4E8X,James,Edwards,dianamayo@example.net,Jenniferton,457,2024-08-03
CUS7KZORQQFGV0E,Jessica,Elliott,qharper@example.net,Smithton,371,2022-02-05
CUS14M2JA04UX5Q,Lisa,Webb,deanjulia@example.net,Torresborough,795,2022-11-14
